"exchange_name","zh_company_abbr","stock_code"
Beijing Stock Exchange,维琪科技,"874747"
Beijing Stock Exchange,南方乳业,"874142"
Shanghai Stock Exchange,永臻股份,"603381"
Shanghai Stock Exchange,丰沃股份,A25030
Shenzhen Stock Exchange,平安银行,"000001"
Shenzhen Stock Exchange,万科A,"000002"
Shenzhen Stock Exchange,*ST国华,"000004"
Shenzhen Stock Exchange,深振业A,"000006"
Shenzhen Stock Exchange,全新好,"000007"
Shenzhen Stock Exchange,神州高铁,"000008"
Shenzhen Stock Exchange,中国宝安,"000009"
Shenzhen Stock Exchange,美丽生态,"000010"
Shenzhen Stock Exchange,深物业A,"000011"
Shenzhen Stock Exchange,南玻A,"000012"
Shenzhen Stock Exchange,沙河股份,"000014"
Shenzhen Stock Exchange,深康佳A,"000016"
Shenzhen Stock Exchange,深中华A,"000017"
Shenzhen Stock Exchange,深粮控股,"000019"
Shenzhen Stock Exchange,深华发A,"000020"
Shenzhen Stock Exchange,深科技,"000021"
Shenzhen Stock Exchange,招商港口,"001872"
Shenzhen Stock Exchange,特力A,"000025"
Shenzhen Stock Exchange,飞亚达,"000026"
Shenzhen Stock Exchange,深圳能源,"000027"
Shenzhen Stock Exchange,国药一致,"000028"
Shenzhen Stock Exchange,深深房A,"000029"
Shenzhen Stock Exchange,富奥股份,"000030"
Shenzhen Stock Exchange,大悦城,"000031"
Shenzhen Stock Exchange,深桑达A,"000032"
Shenzhen Stock Exchange,神州数码,"000034"
Shenzhen Stock Exchange,中国天楹,"000035"
Shenzhen Stock Exchange,华联控股,"000036"
Shenzhen Stock Exchange,深南电A,"000037"
Shenzhen Stock Exchange,中集集团,"000039"
Shenzhen Stock Exchange,中洲控股,"000042"
Shenzhen Stock Exchange,招商积余,"001914"
Shenzhen Stock Exchange,深纺织A,"000045"
Shenzhen Stock Exchange,京基智农,"000048"
Shenzhen Stock Exchange,德赛电池,"000049"
Shenzhen Stock Exchange,深天马A,"000050"
Shenzhen Stock Exchange,方大集团,"000055"
Shenzhen Stock Exchange,皇庭国际,"000056"
Shenzhen Stock Exchange,深赛格,"000058"
Shenzhen Stock Exchange,华锦股份,"000059"
Shenzhen Stock Exchange,中金岭南,"000060"
Shenzhen Stock Exchange,农产品,"000061"
Shenzhen Stock Exchange,深圳华强,"000062"
Shenzhen Stock Exchange,中兴通讯,"000063"
Shenzhen Stock Exchange,北方国际,"000065"
Shenzhen Stock Exchange,中国长城,"000066"
Shenzhen Stock Exchange,华控赛格,"000068"
Shenzhen Stock Exchange,华侨城A,"000069"
Shenzhen Stock Exchange,特发信息,"000070"
Shenzhen Stock Exchange,海王生物,"000078"
Shenzhen Stock Exchange,盐田港,"000088"
Shenzhen Stock Exchange,深圳机场,"000089"
Shenzhen Stock Exchange,天健集团,"000090"
Shenzhen Stock Exchange,广聚能源,"000096"
Shenzhen Stock Exchange,中信海直,"000099"
Shenzhen Stock Exchange,中成股份,"000151"
Shenzhen Stock Exchange,丰原药业,"000153"
Shenzhen Stock Exchange,川能动力,"000155"
Shenzhen Stock Exchange,华数传媒,"000156"
Shenzhen Stock Exchange,常山北明,"000158"
Shenzhen Stock Exchange,国际实业,"000159"
Shenzhen Stock Exchange,东方盛虹,"000301"
Shenzhen Stock Exchange,许继电气,"000400"
Shenzhen Stock Exchange,金隅冀东,"000401"
Shenzhen Stock Exchange,金融街,"000402"
Shenzhen Stock Exchange,派林生物,"000403"
Shenzhen Stock Exchange,长虹华意,"000404"
Shenzhen Stock Exchange,胜利股份,"000407"
Shenzhen Stock Exchange,藏格矿业,"000408"
Shenzhen Stock Exchange,云鼎科技,"000409"
Shenzhen Stock Exchange,沈阳机床,"000410"
Shenzhen Stock Exchange,英特集团,"000411"
Shenzhen Stock Exchange,渤海租赁,"000415"
Shenzhen Stock Exchange,合百集团,"000417"
Shenzhen Stock Exchange,通程控股,"000419"
Shenzhen Stock Exchange,吉林化纤,"000420"
Shenzhen Stock Exchange,南京公用,"000421"
Shenzhen Stock Exchange,湖北宜化,"000422"
Shenzhen Stock Exchange,东阿阿胶,"000423"
Shenzhen Stock Exchange,徐工机械,"000425"
Shenzhen Stock Exchange,兴业银锡,"000426"
Shenzhen Stock Exchange,华天酒店,"000428"
Shenzhen Stock Exchange,粤高速A,"000429"
Shenzhen Stock Exchange,ST张家界,"000430"
Shenzhen Stock Exchange,山东路桥,"000498"
Shenzhen Stock Exchange,武商集团,"000501"
Shenzhen Stock Exchange,国新健康,"000503"
Shenzhen Stock Exchange,*ST生物,"000504"
Shenzhen Stock Exchange,京粮控股,"000505"
Shenzhen Stock Exchange,招金黄金,"000506"
Shenzhen Stock Exchange,珠海港,"000507"
Shenzhen Stock Exchange,华塑控股,"000509"
Shenzhen Stock Exchange,新金路,"000510"
Shenzhen Stock Exchange,丽珠集团,"000513"
Shenzhen Stock Exchange,渝开发,"000514"
Shenzhen Stock Exchange,国际医学,"000516"
Shenzhen Stock Exchange,荣安地产,"000517"
Shenzhen Stock Exchange,*ST四环,"000518"
Shenzhen Stock Exchange,中兵红箭,"000519"
Shenzhen Stock Exchange,凤凰航运,"000520"
